Timestamp;Mannerheimintie;Vallila;Kallio2;Vartiokylä;Länsisatama3(M4);Leppävaara4;Tikkurila3;Luukki;Hämeentie(M1);KehäII(M2);Ruskeasanta2(M3);Hyvinkää(M5);Lohja
01/01/2014 01:00;78;59;64;77;36;78;63;55;77;63;;47;24
01/01/2014 02:00;68;56;51;61;42;63;51;53;56;51;;32;32
01/01/2014 03:00;60;44;48;55;48;52;46;49;53;49;;21;29
01/01/2014 04:00;48;36;51;40;49;41;37;51;42;36;;27;28
01/01/2014 05:00;51;30;54;39;37;35;30;54;43;32;;27;26
01/01/2014 06:00;50;26;53;40;21;26;29;56;39;35;;25;28
01/01/2014 07:00;48;28;52;47;25;33;32;54;44;40;;23;31
01/01/2014 08:00;47;29;50;51;51;35;37;53;52;47;;21;33
01/01/2014 09:00;52;31;55;57;54;42;43;51;56;51;;23;35
01/01/2014 10:00;55;37;58;62;60;51;50;51;59;56;;26;37
01/01/2014 11:00;55;40;56;61;54;56;56;48;58;57;;22;53
01/01/2014 12:00;51;38;52;59;53;55;55;57;54;54;;24;55
01/01/2014 13:00;54;39;51;56;52;55;53;57;53;53;;28;53
01/01/2014 14:00;53;35;43;52;53;56;51;56;51;50;;31;44
01/01/2014 15:00;43;36;46;47;42;52;50;54;50;48;;38;44
01/01/2014 16:00;44;26;40;47;42;51;46;48;42;49;;39;39
01/01/2014 17:00;41;22;45;49;50;49;38;50;41;47;;34;34
01/01/2014 18:00;52;23;45;49;40;44;34;51;57;52;;38;32
01/01/2014 19:00;58;30;46;48;33;37;36;50;75;54;;36;38
01/01/2014 20:00;59;35;48;53;43;32;43;49;80;61;;31;52
01/01/2014 21:00;54;46;58;56;52;54;53;47;64;60;;26;52
01/01/2014 22:00;56;40;54;64;55;56;56;51;55;51;;27;48
01/01/2014 23:00;53;34;51;57;52;53;50;52;52;51;;21;49
01/01/2014 24:00;51;24;51;54;50;48;47;42;52;52;;26;47
02/01/2014 01:00;50;27;50;54;55;51;50;53;51;50;;33;48
02/01/2014 02:00;52;28;47;56;54;45;46;52;47;51;;33;36
02/01/2014 03:00;43;24;40;52;51;46;51;51;32;34;;28;30
02/01/2014 04:00;38;11;40;42;26;32;38;50;32;31;;27;33
02/01/2014 05:00;36;13;39;41;34;30;29;35;41;33;;27;39
02/01/2014 06:00;37;18;38;40;31;31;30;33;57;12;;29;38
02/01/2014 07:00;34;18;35;40;47;30;28;36;71;27;;27;33
02/01/2014 08:00;48;25;35;40;50;30;30;38;79;44;;26;26
02/01/2014 09:00;32;29;37;42;42;31;36;39;78;43;;24;32
02/01/2014 10:00;41;35;36;41;56;37;37;41;76;41;;23;31
02/01/2014 11:00;46;41;44;41;56;49;36;36;78;42;;29;33
02/01/2014 12:00;51;46;49;39;52;51;43;33;80;31;;27;35
02/01/2014 13:00;52;50;44;38;39;53;49;35;89;28;;31;36
02/01/2014 14:00;51;51;49;39;47;56;51;35;89;41;;32;38
02/01/2014 15:00;51;50;49;40;34;58;51;34;86;38;;38;39
02/01/2014 16:00;57;48;48;42;40;61;51;42;90;34;;36;38
02/01/2014 17:00;61;51;43;43;53;62;51;43;89;37;11;36;36
02/01/2014 18:00;53;51;42;45;53;65;44;43;88;22;9;23;37
02/01/2014 19:00;51;48;42;46;31;67;44;44;82;27;7;25;39
02/01/2014 20:00;49;48;40;45;21;61;41;44;77;20;48;39;38
02/01/2014 21:00;45;43;42;45;41;58;41;44;78;17;33;59;37
02/01/2014 22:00;48;47;39;43;52;54;40;44;71;12;46;63;35
02/01/2014 23:00;43;39;41;43;45;51;30;44;69;8;50;62;34
02/01/2014 24:00;37;34;40;44;38;46;32;41;61;8;55;61;31
03/01/2014 01:00;35;37;37;42;28;37;29;39;55;3;61;57;30
03/01/2014 02:00;32;32;35;38;27;17;26;34;53;2;52;57;29
03/01/2014 03:00;30;28;35;34;43;21;22;31;52;3;43;54;28
03/01/2014 04:00;42;29;33;36;31;24;27;38;53;4;27;48;26
03/01/2014 05:00;37;28;31;37;28;26;26;30;46;3;30;36;26
03/01/2014 06:00;28;29;35;34;29;31;30;43;52;5;33;31;27
03/01/2014 07:00;40;36;31;38;37;41;44;37;70;13;30;38;30
03/01/2014 08:00;56;53;50;40;42;62;49;32;77;29;28;46;32
03/01/2014 09:00;57;56;50;45;27;71;48;38;86;37;38;51;34
03/01/2014 10:00;54;58;51;50;37;71;52;36;91;33;51;75;35
03/01/2014 11:00;56;60;50;53;49;66;52;32;83;34;44;72;37
03/01/2014 12:00;61;60;53;55;51;66;52;48;85;30;53;70;43
03/01/2014 13:00;60;59;58;63;51;63;51;50;87;35;57;64;50
03/01/2014 14:00;61;60;52;61;54;58;55;57;100;39;54;69;52
03/01/2014 15:00;66;66;55;55;54;68;57;52;99;36;55;68;51
