Timestamp;Mannerheimintie;Mäkelänkatu2;Kallio2;Vartiokylä;Jätevoimala(M4);Leppävaara4;Tikkurila3;Luukki;Töölöntulli(M1);Lintuvaara2(M2);Hämeenlinnanväylä(M3);Järvenpää2(M5);Lohja
01/01/2015 01:00;119;NoData;121;141;NoData;82;83;46;NoData;NoData;OffScan;0;78
01/01/2015 02:00;114;NoData;89;92;NoData;85;56;44;NoData;NoData;OffScan;0;24
01/01/2015 03:00;76;NoData;55;77;NoData;60;33;49;NoData;NoData;OffScan;0;19
01/01/2015 04:00;65;NoData;50;71;NoData;56;35;46;NoData;NoData;OffScan;0;19
01/01/2015 05:00;57;NoData;37;64;NoData;50;37;48;NoData;NoData;OffScan;0;18
01/01/2015 06:00;55;NoData;33;60;NoData;51;35;31;NoData;NoData;OffScan;0;17
01/01/2015 07:00;33;NoData;34;56;NoData;41;31;27;NoData;NoData;OffScan;0;12
01/01/2015 08:00;34;NoData;33;54;NoData;38;23;30;NoData;NoData;OffScan;0;11
01/01/2015 09:00;37;NoData;29;52;NoData;53;37;26;NoData;NoData;OffScan;0;12
01/01/2015 10:00;28;NoData;27;52;NoData;38;27;45;NoData;NoData;OffScan;0;14
01/01/2015 11:00;21;NoData;29;53;NoData;26;25;32;NoData;NoData;OffScan;NoData;24
01/01/2015 12:00;26;NoData;20;51;NoData;23;25;26;NoData;NoData;OffScan;NoData;18
01/01/2015 13:00;30;NoData;28;46;NoData;21;27;27;NoData;NoData;OffScan;NoData;12
01/01/2015 14:00;30;NoData;36;39;NoData;21;13;36;NoData;NoData;OffScan;NoData;21
01/01/2015 15:00;34;NoData;39;43;NoData;19;15;41;NoData;NoData;OffScan;NoData;23
01/01/2015 16:00;38;NoData;38;42;NoData;19;20;44;NoData;NoData;OffScan;NoData;29
01/01/2015 17:00;42;NoData;39;44;NoData;36;40;45;NoData;NoData;OffScan;NoData;26
01/01/2015 18:00;38;NoData;42;45;NoData;41;36;46;NoData;NoData;OffScan;NoData;22
01/01/2015 19:00;40;NoData;42;48;NoData;37;35;48;NoData;NoData;OffScan;NoData;20
01/01/2015 20:00;43;NoData;46;48;NoData;34;31;50;NoData;NoData;OffScan;NoData;17
01/01/2015 21:00;43;NoData;50;51;NoData;30;25;51;NoData;NoData;OffScan;NoData;14
01/01/2015 22:00;45;NoData;50;50;NoData;32;22;50;NoData;NoData;OffScan;NoData;12
01/01/2015 23:00;43;NoData;49;49;NoData;25;20;50;NoData;NoData;OffScan;NoData;10
01/01/2015 24:00;41;NoData;46;48;NoData;18;16;47;NoData;NoData;OffScan;NoData;9
02/01/2015 01:00;39;NoData;45;46;NoData;19;20;45;NoData;NoData;OffScan;NoData;9
02/01/2015 02:00;43;NoData;42;45;NoData;37;13;45;NoData;NoData;OffScan;NoData;11
02/01/2015 03:00;42;NoData;42;41;NoData;23;16;43;NoData;NoData;OffScan;NoData;12
02/01/2015 04:00;38;NoData;39;40;NoData;21;18;42;NoData;NoData;OffScan;NoData;14
02/01/2015 05:00;38;NoData;37;40;NoData;24;21;41;NoData;NoData;OffScan;NoData;20
02/01/2015 06:00;41;NoData;43;36;NoData;23;26;43;NoData;NoData;OffScan;NoData;28
02/01/2015 07:00;37;NoData;43;36;NoData;34;36;43;NoData;NoData;OffScan;NoData;15
02/01/2015 08:00;39;NoData;36;41;NoData;30;25;45;NoData;NoData;OffScan;NoData;7
02/01/2015 09:00;32;NoData;30;41;NoData;18;25;41;NoData;NoData;OffScan;NoData;6
02/01/2015 10:00;27;NoData;27;36;NoData;19;25;37;NoData;NoData;OffScan;NoData;6
02/01/2015 11:00;29;NoData;27;31;NoData;16;20;37;NoData;0;25;NoData;6
02/01/2015 12:00;30;NoData;32;32;NoData;20;28;38;NoData;11;26;NoData;7
02/01/2015 13:00;30;NoData;35;13;NoData;31;24;40;0;9;32;NoData;8
02/01/2015 14:00;34;NoData;37;13;NoData;23;18;40;42;7;25;NoData;9
02/01/2015 15:00;36;NoData;29;13;NoData;24;23;42;33;8;29;NoData;6
02/01/2015 16:00;35;NoData;40;30;NoData;32;29;46;55;8;39;24;5
02/01/2015 17:00;35;NoData;40;36;NoData;23;27;47;60;8;30;21;3
02/01/2015 18:00;35;NoData;44;10;NoData;16;14;45;55;2;17;13;3
02/01/2015 19:00;45;NoData;48;10;NoData;12;8;51;52;9;14;43;4
02/01/2015 20:00;56;NoData;57;10;NoData;11;6;59;68;18;8;22;7
02/01/2015 21:00;58;NoData;61;11;NoData;23;8;61;77;37;7;27;5
02/01/2015 22:00;57;NoData;60;10;NoData;8;5;60;71;21;6;25;2
02/01/2015 23:00;59;NoData;61;10;NoData;7;4;61;60;0;6;12;2
02/01/2015 24:00;58;NoData;61;9;NoData;9;4;60;57;0;5;10;2
03/01/2015 01:00;57;NoData;61;9;NoData;13;10;60;66;10;3;17;3
03/01/2015 02:00;58;NoData;62;9;NoData;28;11;60;81;4;4;17;6
03/01/2015 03:00;58;NoData;61;9;NoData;12;4;59;95;6;3;21;10
03/01/2015 04:00;57;NoData;61;9;NoData;11;7;60;92;0;4;19;16
03/01/2015 05:00;56;NoData;61;9;NoData;26;4;59;84;0;3;23;1
03/01/2015 06:00;58;NoData;60;9;NoData;16;4;58;20;0;2;12;2
03/01/2015 07:00;57;NoData;59;10;NoData;8;7;58;33;0;3;1;5
03/01/2015 08:00;56;NoData;58;11;NoData;5;6;57;53;1;5;1;7
03/01/2015 09:00;56;NoData;59;12;NoData;10;7;57;57;2;7;6;7
03/01/2015 10:00;55;NoData;58;12;NoData;7;6;57;57;10;7;4;6
03/01/2015 11:00;53;NoData;57;11;NoData;9;6;56;60;3;10;6;3
03/01/2015 12:00;51;NoData;55;10;NoData;12;4;55;72;0;15;6;2
03/01/2015 13:00;53;NoData;56;10;NoData;11;4;57;60;0;11;9;2
03/01/2015 14:00;52;NoData;55;53;NoData;12;4;58;58;0;12;11;2
03/01/2015 15:00;51;NoData;55;53;0;12;5;57;55;10;14;11;3
03/01/2015 16:00;50;NoData;56;51;8;14;5;57;55;11;19;11;5
03/01/2015 17:00;51;NoData;55;51;70;15;8;57;56;8;31;8;5
03/01/2015 18:00;52;NoData;54;53;60;15;13;57;54;8;35;9;4
03/01/2015 19:00;51;NoData;56;54;43;11;14;56;53;9;38;5;4
03/01/2015 20:00;51;NoData;53;54;26;7;8;56;53;6;NoData;11;3
03/01/2015 21:00;50;NoData;56;54;17;12;7;56;55;7;NoData;4;3
03/01/2015 22:00;51;NoData;56;54;18;5;4;56;53;3;NoData;6;4
03/01/2015 23:00;52;NoData;56;54;13;3;4;55;53;8;NoData;9;2
03/01/2015 24:00;48;NoData;54;49;4;8;4;54;54;20;NoData;4;4
04/01/2015 01:00;37;NoData;40;39;3;2;4;51;49;10;NoData;19;2
04/01/2015 02:00;36;NoData;35;36;3;5;4;43;46;12;NoData;15;5
04/01/2015 03:00;40;NoData;34;32;3;10;4;36;43;1;NoData;6;3
04/01/2015 04:00;33;NoData;32;31;4;7;5;33;43;9;NoData;7;5
04/01/2015 05:00;41;NoData;31;30;13;9;4;31;54;9;NoData;5;3
04/01/2015 06:00;52;NoData;30;30;26;12;3;31;42;10;NoData;4;2
04/01/2015 07:00;27;NoData;30;30;4;3;4;32;44;7;NoData;4;2
04/01/2015 08:00;27;NoData;30;30;20;6;5;32;55;6;NoData;2;2
04/01/2015 09:00;28;NoData;32;35;13;3;3;33;61;6;NoData;3;3
04/01/2015 10:00;28;NoData;35;36;11;7;3;39;68;7;0;3;4
04/01/2015 11:00;30;NoData;37;38;19;4;3;40;76;3;3;3;5
04/01/2015 12:00;29;NoData;36;40;9;7;6;38;82;14;9;4;4
04/01/2015 13:00;33;NoData;35;38;9;8;10;38;81;15;8;5;5
04/01/2015 14:00;35;NoData;35;38;18;10;5;36;87;2;10;6;7
04/01/2015 15:00;40;NoData;32;36;5;10;7;36;83;13;11;8;12
04/01/2015 16:00;37;NoData;34;32;5;16;10;38;81;8;16;12;12
04/01/2015 17:00;39;NoData;31;31;17;15;12;42;80;23;19;12;14
04/01/2015 18:00;47;NoData;34;32;23;16;14;40;53;41;20;8;12
04/01/2015 19:00;44;NoData;34;55;25;14;18;37;54;58;18;15;8
04/01/2015 20:00;42;NoData;32;28;27;11;14;36;50;44;15;8;8
04/01/2015 21:00;41;NoData;31;29;16;16;12;36;47;19;6;7;12
04/01/2015 22:00;40;NoData;32;31;22;20;10;32;47;19;7;8;13
04/01/2015 23:00;34;NoData;29;31;10;16;6;31;35;12;6;5;16
04/01/2015 24:00;26;NoData;34;31;11;17;6;33;24;52;4;10;16
05/01/2015 01:00;24;NoData;32;30;4;26;5;33;23;51;3;8;8
05/01/2015 02:00;31;NoData;32;32;4;24;4;34;16;21;5;5;4
05/01/2015 03:00;26;NoData;32;31;4;11;7;32;7;11;5;3;16
05/01/2015 04:00;28;NoData;33;36;8;12;14;32;10;10;7;9;17
05/01/2015 05:00;39;NoData;40;39;17;15;19;37;14;19;14;14;3
05/01/2015 06:00;32;NoData;46;40;31;26;19;39;29;29;17;17;10
05/01/2015 07:00;42;NoData;43;41;31;41;19;52;56;34;18;17;17
