Timestamp;Mannerheimintie;Mäkelänkatu2;Kallio2;Vartiokylä;Leppävaara4;Tikkurila3;Luukki;Lohja;Porvoo(M5);Vuosaari(M4);Puistola(M1);Lintuvaara(M2);Hämeenlinnanväylä(M3)
01/01/2016 01:00;77;69;98;59;51;135;55;47;103;23;84;165;36
01/01/2016 02:00;64;53;50;52;45;63;54;65;76;25;52;76;21
01/01/2016 03:00;46;44;48;52;27;36;52;55;67;26;31;54;17
01/01/2016 04:00;50;44;48;50;19;33;52;17;58;36;31;15;20
01/01/2016 05:00;50;47;46;50;24;49;51;13;60;46;30;26;38
01/01/2016 06:00;47;48;47;51;38;39;48;12;56;41;33;38;41
01/01/2016 07:00;48;49;46;51;33;32;49;11;48;44;31;23;17
01/01/2016 08:00;52;52;51;53;16;34;51;10;51;47;25;23;13
01/01/2016 09:00;50;52;50;51;9;41;53;8;51;62;34;22;24
01/01/2016 10:00;47;47;49;51;14;52;50;7;40;56;50;21;45
01/01/2016 11:00;36;47;48;51;18;45;51;6;41;40;44;33;42
01/01/2016 12:00;45;47;50;53;23;30;50;6;57;29;25;41;15
01/01/2016 13:00;54;54;49;52;18;43;51;9;61;51;30;51;35
01/01/2016 14:00;66;59;50;55;35;21;52;11;72;23;24;46;21
01/01/2016 15:00;66;73;50;53;50;29;54;16;68;22;22;19;14
01/01/2016 16:00;74;60;48;48;54;35;50;16;71;23;19;23;19
01/01/2016 17:00;70;54;48;51;55;24;48;14;66;20;28;32;14
01/01/2016 18:00;66;57;48;46;55;28;45;14;63;18;26;39;15
01/01/2016 19:00;63;60;46;47;58;40;47;10;76;49;15;38;15
01/01/2016 20:00;60;59;43;46;58;43;43;15;77;38;19;32;25
01/01/2016 21:00;54;56;43;45;56;40;46;21;62;38;23;53;18
01/01/2016 22:00;59;57;42;46;56;47;45;13;56;44;23;56;19
01/01/2016 23:00;56;52;41;46;53;32;45;13;53;29;32;49;19
01/01/2016 24:00;49;54;42;46;48;30;58;11;51;28;29;45;17
02/01/2016 01:00;52;58;43;47;52;36;46;12;53;27;6;28;15
02/01/2016 02:00;52;54;40;47;54;29;44;11;40;29;7;22;16
02/01/2016 03:00;42;48;42;48;35;29;42;11;31;22;9;23;15
02/01/2016 04:00;52;44;45;50;33;29;41;11;24;27;10;18;17
02/01/2016 05:00;51;49;45;50;17;19;39;9;24;28;5;29;16
02/01/2016 06:00;49;50;46;51;23;27;34;9;46;37;17;3;13
02/01/2016 07:00;58;47;48;51;26;25;35;9;31;54;13;16;13
02/01/2016 08:00;54;50;45;47;23;26;42;9;31;51;24;10;15
02/01/2016 09:00;42;47;44;46;26;33;41;12;31;43;10;13;26
02/01/2016 10:00;39;51;45;44;26;36;39;13;35;50;22;11;24
02/01/2016 11:00;53;52;52;43;27;35;40;17;47;57;27;27;30
02/01/2016 12:00;54;41;51;40;37;50;40;18;43;57;25;38;51
02/01/2016 13:00;51;38;34;40;41;44;38;18;45;49;41;30;30
02/01/2016 14:00;60;54;35;41;36;43;40;18;43;31;51;16;28
02/01/2016 15:00;79;71;37;42;40;40;37;19;40;32;34;64;31
02/01/2016 16:00;81;64;34;41;51;44;35;24;47;30;32;66;35
02/01/2016 17:00;86;86;35;42;51;39;30;32;50;28;32;53;38
02/01/2016 18:00;89;75;36;34;49;54;27;41;43;47;53;54;57
02/01/2016 19:00;77;78;44;39;53;53;39;35;39;51;52;69;52
02/01/2016 20:00;67;54;51;40;56;53;45;39;41;41;53;70;51
02/01/2016 21:00;63;56;51;37;59;50;62;35;38;41;57;61;52
02/01/2016 22:00;83;62;42;37;57;45;54;35;39;29;49;60;57
02/01/2016 23:00;82;59;42;46;59;51;37;31;41;30;53;59;61
