Timestamp;Mannerheimintie;Mäkelänkatu;Kallio;Vartiokylä;Leppävaara;Tikkurila;Luukki;Lohja;Hyvinkää;Eteläsatama;Mechelininkatu;Kauniainen;Itä-Hakkila
01/01/2018 01:00;55;56;50;76;46;144;47;54;78;20;58;54;62
01/01/2018 02:00;61;40;44;44;31;45;53;39;59;24;45;40;62
01/01/2018 03:00;56;36;42;55;44;34;47;42;43;29;39;46;37
01/01/2018 04:00;57;45;52;50;37;46;38;55;10;48;53;52;28
01/01/2018 05:00;57;44;48;51;40;47;42;42;17;38;46;50;31
01/01/2018 06:00;30;35;34;42;40;33;44;31;18;26;35;43;36
01/01/2018 07:00;31;29;31;38;40;22;35;28;21;20;26;37;34
01/01/2018 08:00;47;34;36;41;38;24;35;33;22;34;34;41;21
01/01/2018 09:00;5;31;38;41;39;35;35;35;18;35;38;43;30
01/01/2018 10:00;8;30;34;36;34;32;37;32;12;29;33;39;30
01/01/2018 11:00;22;33;39;42;25;33;30;34;19;30;33;41;31
01/01/2018 12:00;25;32;36;43;26;28;37;36;20;23;27;44;24
01/01/2018 13:00;23;22;22;34;29;29;23;35;21;19;24;39;28
01/01/2018 14:00;31;20;22;29;26;24;35;33;19;14;21;34;29
01/01/2018 15:00;26;25;25;25;30;20;33;31;22;10;20;30;29
01/01/2018 16:00;24;27;24;26;30;22;21;30;16;21;20;28;30
01/01/2018 17:00;25;22;22;27;25;24;35;26;14;12;19;28;28
01/01/2018 18:00;27;18;23;27;22;16;23;19;11;8;17;26;16
01/01/2018 19:00;25;18;23;22;18;11;19;15;11;3;17;19;30
01/01/2018 20:00;26;25;23;21;20;12;19;13;6;3;15;15;28
01/01/2018 21:00;24;32;21;25;35;21;17;10;5;8;15;28;29
01/01/2018 22:00;60;35;19;22;38;23;16;11;7;12;32;43;14
01/01/2018 23:00;21;23;22;20;32;18;13;13;9;18;30;36;20
01/01/2018 24:00;18;31;37;29;16;17;13;11;9;19;22;21;17
02/01/2018 01:00;49;56;56;56;17;32;46;24;9;30;33;32;14
02/01/2018 02:00;47;55;57;56;34;23;58;17;6;26;36;30;35
02/01/2018 03:00;32;56;58;56;35;21;58;14;17;20;24;18;40
02/01/2018 04:00;27;57;59;57;18;17;58;11;23;7;11;12;23
02/01/2018 05:00;13;57;59;56;21;8;58;9;14;4;27;12;29
02/01/2018 06:00;14;53;56;54;10;8;57;7;15;2;26;10;20
02/01/2018 07:00;26;44;56;54;22;13;57;7;16;9;32;7;21
02/01/2018 08:00;27;57;49;52;35;22;54;10;21;12;45;17;NoData
02/01/2018 09:00;33;69;40;37;41;43;50;8;23;21;51;18;NoData
02/01/2018 10:00;33;65;39;37;32;38;50;7;29;25;43;15;0
02/01/2018 11:00;27;39;28;28;16;29;9;7;21;23;35;7;14
02/01/2018 12:00;29;44;24;28;15;21;12;7;14;17;30;9;22
02/01/2018 13:00;35;47;28;31;19;21;34;7;13;17;39;14;24
02/01/2018 14:00;33;54;30;33;28;31;38;7;16;24;40;11;19
02/01/2018 15:00;36;64;25;41;34;36;41;14;23;24;54;15;20
02/01/2018 16:00;34;76;28;28;55;52;45;14;32;21;68;20;30
02/01/2018 17:00;33;62;45;44;52;49;42;11;40;12;76;16;43
02/01/2018 18:00;44;44;50;49;40;18;52;9;29;20;38;12;28
02/01/2018 19:00;45;45;47;50;27;17;56;8;21;17;34;12;20
02/01/2018 20:00;28;44;48;52;32;18;56;8;14;11;25;15;22
02/01/2018 21:00;28;43;52;47;26;17;55;9;13;19;26;15;29
02/01/2018 22:00;64;48;48;52;24;20;54;9;10;20;40;16;22
02/01/2018 23:00;34;50;53;51;19;16;54;10;7;16;25;15;23
02/01/2018 24:00;26;52;54;52;20;16;55;10;5;18;21;16;17
03/01/2018 01:00;33;47;44;50;19;19;54;9;3;17;23;17;19
03/01/2018 02:00;38;48;50;48;18;22;53;8;8;22;27;22;12
03/01/2018 03:00;35;47;49;46;27;22;52;9;4;27;31;23;15
03/01/2018 04:00;43;46;48;44;22;30;52;7;10;34;35;30;32
03/01/2018 05:00;37;44;46;44;25;34;48;15;4;34;38;35;28
03/01/2018 06:00;33;38;43;51;29;36;47;17;7;42;43;36;40
03/01/2018 07:00;48;50;48;54;36;43;46;18;15;45;51;41;36
03/01/2018 08:00;44;55;49;55;42;50;43;20;17;51;52;41;45
03/01/2018 09:00;32;62;48;48;42;46;43;22;18;43;53;46;36
03/01/2018 10:00;48;59;36;51;41;44;38;25;22;46;52;40;34
03/01/2018 11:00;53;60;47;51;37;51;40;26;29;41;55;47;42
03/01/2018 12:00;51;60;42;47;46;47;35;30;29;32;48;52;41
03/01/2018 13:00;48;62;34;42;38;29;36;39;34;32;57;49;NoData
03/01/2018 14:00;49;69;39;40;39;37;47;42;35;31;58;47;28
03/01/2018 15:00;49;70;38;39;41;35;33;40;42;24;61;44;38
03/01/2018 16:00;49;77;33;38;55;44;33;40;50;25;53;44;42
03/01/2018 17:00;45;58;49;40;54;45;38;43;33;33;50;42;37
03/01/2018 18:00;43;51;33;40;43;35;27;39;29;20;29;38;29
03/01/2018 19:00;36;38;34;36;44;29;31;31;27;16;24;35;28
03/01/2018 20:00;43;30;36;37;34;14;33;21;22;13;19;30;25
03/01/2018 21:00;32;31;40;39;32;16;36;21;17;16;19;28;22
03/01/2018 22:00;65;30;39;41;32;25;37;20;11;20;26;38;23
03/01/2018 23:00;45;36;42;42;24;22;40;28;9;18;20;40;33
03/01/2018 24:00;24;38;45;42;22;18;41;30;16;12;16;28;25
04/01/2018 01:00;23;37;42;36;17;12;38;23;4;9;11;25;11
04/01/2018 02:00;32;28;29;26;24;15;30;19;5;19;17;21;4
04/01/2018 03:00;25;23;24;24;21;18;32;19;10;15;18;21;16
04/01/2018 04:00;22;18;26;18;24;19;23;19;17;12;17;23;23
04/01/2018 05:00;26;17;19;17;23;12;15;18;17;8;10;14;22
04/01/2018 06:00;21;16;18;14;17;11;18;10;15;5;6;13;18
04/01/2018 07:00;18;15;16;14;21;15;26;14;14;9;11;20;15
04/01/2018 08:00;22;23;25;18;29;20;23;16;8;9;16;28;5
04/01/2018 09:00;30;27;26;14;28;21;28;18;8;11;20;26;10
04/01/2018 10:00;38;30;23;17;31;22;16;15;10;18;17;25;15
04/01/2018 11:00;40;33;28;22;36;24;14;15;10;18;22;22;13
04/01/2018 12:00;57;34;32;24;38;25;16;17;2;13;27;26;12
04/01/2018 13:00;57;29;26;25;38;26;24;19;12;8;21;28;10
04/01/2018 14:00;51;37;35;29;38;24;19;19;14;9;17;23;13
04/01/2018 15:00;40;41;22;27;43;24;26;18;13;13;16;23;20
04/01/2018 16:00;44;41;21;25;43;35;24;19;15;12;18;29;19
04/01/2018 17:00;51;30;25;27;49;23;22;20;21;13;20;28;19
04/01/2018 18:00;44;29;26;30;40;38;21;17;14;11;18;24;16
04/01/2018 19:00;29;26;27;29;27;16;27;14;10;9;18;20;14
04/01/2018 20:00;22;22;26;26;22;16;27;12;14;5;10;18;16
04/01/2018 21:00;24;22;30;27;20;20;25;13;11;8;11;17;14
04/01/2018 22:00;68;25;28;28;19;13;27;15;24;14;16;21;17
04/01/2018 23:00;45;27;29;27;21;14;28;17;4;15;19;24;20
04/01/2018 24:00;13;27;29;29;20;15;28;14;2;18;22;28;6
05/01/2018 01:00;31;30;32;31;27;21;28;13;2;19;25;29;10
05/01/2018 02:00;28;31;33;32;20;21;30;24;10;20;21;30;14
05/01/2018 03:00;31;31;32;32;24;22;31;21;10;25;29;33;29
05/01/2018 04:00;24;29;33;30;28;19;31;14;6;17;20;27;28
05/01/2018 05:00;28;29;43;29;20;18;32;13;6;15;18;23;22
05/01/2018 06:00;23;29;34;31;17;14;32;10;10;13;15;18;25
05/01/2018 07:00;14;28;31;31;18;13;33;9;14;10;19;14;21
05/01/2018 08:00;19;32;26;30;28;18;32;9;16;10;25;11;18
05/01/2018 09:00;22;32;25;30;36;20;28;8;21;13;37;16;15
05/01/2018 10:00;24;31;45;32;30;16;29;8;24;16;37;15;11
05/01/2018 11:00;31;50;44;32;26;19;30;9;24;28;35;18;18
05/01/2018 12:00;23;42;38;32;29;20;31;10;25;14;32;21;20
05/01/2018 13:00;29;35;39;33;35;24;30;13;29;14;43;24;21
05/01/2018 14:00;18;40;30;37;25;22;32;16;34;14;33;23;24
05/01/2018 15:00;27;52;31;37;31;22;34;15;36;15;32;24;19
05/01/2018 16:00;22;52;32;35;33;27;34;32;34;29;38;39;23
05/01/2018 17:00;33;45;35;42;34;31;32;45;34;35;44;46;34
05/01/2018 18:00;47;42;34;42;33;33;42;42;35;28;35;45;31
05/01/2018 19:00;40;36;38;37;35;29;35;41;27;23;35;39;27
05/01/2018 20:00;46;30;37;46;32;33;39;35;28;30;37;41;32
05/01/2018 21:00;51;35;37;49;35;32;37;28;26;32;39;45;41
05/01/2018 22:00;74;34;37;40;34;28;35;22;24;25;33;41;40
05/01/2018 23:00;43;31;38;36;29;21;36;23;16;19;25;31;33
05/01/2018 24:00;27;32;37;37;27;24;36;25;9;21;25;30;17
06/01/2018 01:00;43;34;36;36;33;23;37;21;7;18;26;24;27
06/01/2018 02:00;47;32;31;34;34;15;33;21;7;12;NoData;20;20
06/01/2018 03:00;19;28;29;33;23;15;30;23;23;16;NoData;23;19
06/01/2018 04:00;17;25;26;31;30;18;31;21;11;17;NoData;24;13
06/01/2018 05:00;28;26;32;29;20;17;25;23;11;16;NoData;24;13
06/01/2018 06:00;20;29;33;28;24;17;24;23;17;14;NoData;26;13
06/01/2018 07:00;18;27;32;27;18;20;27;22;16;16;NoData;24;20
06/01/2018 08:00;28;26;30;29;18;19;32;11;17;21;NoData;23;20
06/01/2018 09:00;19;28;26;29;21;19;33;8;10;20;NoData;20;21
06/01/2018 10:00;12;30;36;30;14;19;39;8;12;12;0;10;33
06/01/2018 11:00;15;34;40;38;14;15;39;7;8;26;0;10;15
06/01/2018 12:00;20;37;33;33;18;22;35;7;13;11;36;11;12
06/01/2018 13:00;19;32;29;31;18;20;32;7;13;12;40;12;12
06/01/2018 14:00;18;27;25;26;17;19;28;7;16;14;37;10;13
06/01/2018 15:00;27;28;29;25;16;17;33;7;12;13;28;9;10
06/01/2018 16:00;30;29;34;29;17;18;37;7;12;21;36;10;11
06/01/2018 17:00;20;32;35;32;17;15;38;7;12;20;40;11;17
06/01/2018 18:00;47;31;37;34;17;18;39;7;10;21;36;12;24
06/01/2018 19:00;29;41;38;35;17;15;41;8;10;22;53;10;21
06/01/2018 20:00;26;60;40;37;17;13;41;9;9;23;54;11;15
06/01/2018 21:00;19;71;42;40;13;13;44;8;6;27;48;12;22
06/01/2018 22:00;61;59;41;39;16;18;45;8;5;17;46;11;21
06/01/2018 23:00;32;36;47;44;19;7;50;9;5;17;31;10;20
06/01/2018 24:00;15;45;51;48;13;19;49;10;13;8;10;9;19
07/01/2018 01:00;18;47;52;48;13;19;53;16;6;18;23;9;4
07/01/2018 02:00;16;52;55;53;12;22;54;12;3;25;32;10;2
07/01/2018 03:00;17;54;57;56;7;7;57;9;1;12;16;8;20
07/01/2018 04:00;17;55;59;58;10;13;57;9;1;13;16;7;15
07/01/2018 05:00;11;55;58;57;14;21;57;9;6;13;24;8;23
07/01/2018 06:00;12;54;58;57;14;17;56;8;0;16;21;8;1
07/01/2018 07:00;19;61;57;55;8;16;56;8;6;9;23;8;11
07/01/2018 08:00;17;66;53;54;11;13;55;8;1;14;15;9;11
07/01/2018 09:00;8;65;54;52;17;15;55;9;10;12;18;9;6
07/01/2018 10:00;26;68;54;52;6;17;55;9;7;16;23;9;4
07/01/2018 11:00;24;88;53;51;20;11;55;9;6;22;19;10;10
07/01/2018 12:00;17;95;52;51;18;12;55;10;6;34;16;10;5
07/01/2018 13:00;15;98;54;52;14;14;56;14;9;10;28;11;12
07/01/2018 14:00;20;99;55;52;18;19;56;34;9;21;29;13;9
07/01/2018 15:00;22;111;55;53;21;31;57;22;13;14;37;12;38
07/01/2018 16:00;28;120;49;53;24;25;56;13;13;17;54;16;36
07/01/2018 17:00;25;125;47;52;23;18;55;33;15;36;49;16;19
07/01/2018 18:00;28;115;56;45;32;16;55;54;41;26;24;17;18
07/01/2018 19:00;43;120;55;55;38;50;56;25;24;62;32;35;16
07/01/2018 20:00;36;65;55;54;29;47;55;9;5;18;37;11;10
07/01/2018 21:00;12;78;55;53;24;24;55;9;3;12;16;10;16
07/01/2018 22:00;62;81;55;53;17;15;56;10;23;16;32;11;21
07/01/2018 23:00;32;81;55;54;15;16;57;9;10;17;19;12;17
07/01/2018 24:00;20;78;58;55;11;16;58;11;15;11;11;11;6
08/01/2018 01:00;5;79;59;56;9;31;58;16;12;30;13;12;2
08/01/2018 02:00;22;75;60;57;6;42;59;19;14;16;18;17;1
08/01/2018 03:00;26;61;60;57;15;48;59;11;16;24;21;17;5
08/01/2018 04:00;22;59;60;57;14;33;59;13;32;21;19;16;16
08/01/2018 05:00;14;60;60;57;21;40;59;14;12;30;28;22;25
08/01/2018 06:00;12;55;58;57;21;28;58;19;7;19;16;24;20
08/01/2018 07:00;26;52;54;56;21;41;58;17;9;24;30;43;17
08/01/2018 08:00;39;81;51;54;21;34;58;25;23;16;32;62;24
08/01/2018 09:00;34;102;49;52;30;51;57;21;22;26;48;75;22
08/01/2018 10:00;56;104;50;54;32;61;58;32;20;35;42;73;18
08/01/2018 11:00;66;93;51;55;40;64;59;33;24;46;48;85;13
08/01/2018 12:00;68;95;52;55;49;55;59;55;24;34;54;77;11
08/01/2018 13:00;69;105;54;55;48;56;59;46;28;38;68;82;11
08/01/2018 14:00;73;118;56;55;52;60;58;52;29;51;79;83;12
08/01/2018 15:00;72;123;57;52;65;60;58;54;32;52;85;77;45
08/01/2018 16:00;52;148;54;48;63;62;51;53;31;52;83;93;51
08/01/2018 17:00;56;160;55;42;78;65;49;33;47;51;76;82;45
08/01/2018 18:00;56;149;53;49;95;75;41;30;52;51;77;73;59
08/01/2018 19:00;55;128;54;49;93;69;40;17;56;46;69;56;60
08/01/2018 20:00;38;128;50;42;65;52;48;20;40;25;59;45;40
08/01/2018 21:00;37;111;45;41;59;48;40;16;35;27;54;48;44
08/01/2018 22:00;64;105;43;37;68;48;39;14;29;31;70;52;43
08/01/2018 23:00;54;62;47;40;67;41;36;12;16;32;48;36;35
08/01/2018 24:00;34;45;43;52;42;22;36;10;15;20;34;24;25
09/01/2018 01:00;23;38;45;47;24;16;40;9;45;26;26;17;11
09/01/2018 02:00;36;41;49;43;22;21;44;9;24;18;20;15;14
09/01/2018 03:00;26;42;50;43;14;18;44;10;16;18;17;13;13
09/01/2018 04:00;13;44;50;49;18;15;42;10;12;11;12;13;29
09/01/2018 05:00;13;35;46;46;16;14;42;10;10;8;16;13;27
09/01/2018 06:00;17;46;46;41;21;17;42;10;8;17;27;14;17
09/01/2018 07:00;41;75;34;31;58;59;37;10;14;21;60;36;40
09/01/2018 08:00;54;82;58;53;73;75;30;11;46;39;76;65;55
09/01/2018 09:00;66;84;68;65;78;78;23;11;46;59;82;71;62
09/01/2018 10:00;68;79;63;61;77;74;22;11;35;60;81;71;62
09/01/2018 11:00;65;79;59;60;75;71;38;14;41;59;76;59;59
09/01/2018 12:00;57;76;51;50;61;69;42;13;42;49;71;52;56
09/01/2018 13:00;60;76;49;45;59;64;41;13;35;40;68;58;52
09/01/2018 14:00;55;77;51;37;58;60;39;15;36;35;69;46;31
09/01/2018 15:00;53;85;42;33;57;58;43;17;43;37;67;30;37
09/01/2018 16:00;53;90;50;38;61;54;39;12;39;48;69;44;40
09/01/2018 17:00;52;86;41;38;61;54;40;17;33;44;68;43;46
09/01/2018 18:00;45;84;46;33;52;48;39;18;34;33;56;37;50
09/01/2018 19:00;45;80;40;29;43;39;38;17;32;35;56;33;52
09/01/2018 20:00;38;59;31;30;36;22;39;16;23;27;53;28;42
09/01/2018 21:00;36;65;28;31;39;27;38;16;28;26;48;27;39
09/01/2018 22:00;71;61;32;38;41;25;38;19;24;25;51;29;49
09/01/2018 23:00;47;50;27;35;39;39;36;20;13;23;49;30;32
09/01/2018 24:00;38;42;27;36;37;44;35;19;15;21;33;30;34
10/01/2018 01:00;25;28;37;32;32;38;33;18;5;17;23;31;33
10/01/2018 02:00;23;24;30;31;29;34;34;16;4;20;24;41;28
10/01/2018 03:00;27;30;34;32;18;18;35;21;10;24;22;43;9
10/01/2018 04:00;40;32;36;32;28;13;36;24;10;14;17;37;4
10/01/2018 05:00;18;29;36;34;20;13;33;31;15;18;20;33;12
10/01/2018 06:00;22;40;35;35;24;14;34;29;14;21;25;35;26
10/01/2018 07:00;28;63;30;41;23;19;33;38;14;23;45;42;41
10/01/2018 08:00;32;77;48;49;34;51;32;53;32;27;54;42;27
10/01/2018 09:00;50;74;53;50;51;44;33;33;43;46;70;45;37
10/01/2018 10:00;54;72;54;50;42;52;30;32;39;57;67;51;42
10/01/2018 11:00;66;64;54;49;32;39;30;29;43;63;64;36;28
10/01/2018 12:00;54;75;51;46;31;43;30;32;35;52;61;45;25
10/01/2018 13:00;49;78;40;39;31;34;29;29;42;43;57;50;23
10/01/2018 14:00;67;59;51;40;39;42;28;28;41;49;55;42;25
10/01/2018 15:00;63;66;55;49;48;35;26;21;52;55;61;33;35
10/01/2018 16:00;55;78;56;54;47;51;24;26;53;54;66;51;39
10/01/2018 17:00;57;77;55;55;51;54;27;51;50;54;68;54;50
10/01/2018 18:00;59;67;57;53;50;51;34;36;45;55;65;52;43
10/01/2018 19:00;58;54;54;55;39;40;36;28;41;53;62;50;41
10/01/2018 20:00;56;57;53;56;36;35;36;29;30;49;45;37;31
10/01/2018 21:00;56;52;48;51;46;30;40;52;34;52;50;37;41
10/01/2018 22:00;79;63;41;52;44;27;26;32;45;45;54;44;53
10/01/2018 23:00;56;58;46;51;44;25;28;35;35;42;43;44;42
10/01/2018 24:00;46;39;31;51;33;21;16;49;42;42;34;40;26
11/01/2018 01:00;38;40;38;48;26;21;16;51;50;27;30;35;38
11/01/2018 02:00;35;41;21;48;28;29;18;58;35;23;26;35;33
11/01/2018 03:00;34;30;23;51;27;31;17;35;13;23;30;30;34
11/01/2018 04:00;35;28;25;51;28;30;18;52;16;19;22;29;52
11/01/2018 05:00;35;39;34;49;31;24;15;54;17;38;25;29;38
11/01/2018 06:00;43;58;26;47;42;33;14;58;22;40;33;29;23
11/01/2018 07:00;47;61;42;31;76;23;26;40;12;39;42;33;17
11/01/2018 08:00;56;50;51;28;56;35;23;29;19;39;48;43;14
11/01/2018 09:00;66;57;56;28;41;39;29;29;21;54;61;49;12
11/01/2018 10:00;65;58;50;24;46;41;29;28;21;46;55;47;35
11/01/2018 11:00;62;45;37;33;47;31;31;32;15;38;47;46;16
11/01/2018 12:00;59;39;33;36;39;26;33;28;19;38;39;39;8
11/01/2018 13:00;62;51;35;30;37;32;34;25;23;37;43;43;9
11/01/2018 14:00;66;53;50;33;41;33;36;25;21;47;51;46;16
11/01/2018 15:00;71;61;47;34;52;31;37;33;21;40;54;52;NoData
11/01/2018 16:00;71;56;44;33;58;44;37;38;21;47;55;59;14
11/01/2018 17:00;61;47;38;36;57;35;35;42;38;36;51;58;25
11/01/2018 18:00;65;40;35;40;46;33;38;37;26;37;48;54;24
11/01/2018 19:00;53;36;38;40;38;37;42;23;24;25;45;47;13
11/01/2018 20:00;48;41;43;41;38;29;42;20;14;19;32;37;17
11/01/2018 21:00;51;40;42;41;32;24;43;14;12;22;33;35;25
11/01/2018 22:00;72;43;47;47;34;20;40;15;8;14;18;33;46
11/01/2018 23:00;48;47;51;49;33;19;45;14;9;13;14;23;28
11/01/2018 24:00;25;52;55;51;26;19;44;13;3;12;17;21;23
12/01/2018 01:00;21;72;54;50;28;21;43;13;2;14;19;14;6
12/01/2018 02:00;22;61;55;52;27;20;42;13;1;15;14;10;17
12/01/2018 03:00;20;53;54;53;32;20;41;11;3;9;10;16;26
12/01/2018 04:00;15;52;54;41;26;18;37;12;6;11;15;12;28
12/01/2018 05:00;19;62;51;36;21;20;34;12;9;20;22;16;11
12/01/2018 06:00;49;46;37;33;31;22;32;14;7;22;25;17;10
12/01/2018 07:00;46;67;32;25;54;33;31;28;12;25;28;40;18
12/01/2018 08:00;46;80;52;42;73;61;22;51;22;34;39;62;24
12/01/2018 09:00;40;84;44;52;76;64;33;56;31;44;51;68;38
12/01/2018 10:00;52;95;51;38;76;61;NoData;60;33;50;55;74;24
12/01/2018 11:00;55;93;55;38;73;60;40;52;30;51;59;74;26
12/01/2018 12:00;55;110;52;42;57;61;26;45;43;42;53;43;20
12/01/2018 13:00;53;108;52;51;57;52;27;56;42;44;56;35;45
12/01/2018 14:00;54;94;54;51;55;56;32;36;50;55;57;35;50
12/01/2018 15:00;51;95;41;38;59;55;42;51;54;17;50;33;55
12/01/2018 16:00;38;110;41;43;53;42;52;54;61;22;67;23;52
12/01/2018 17:00;25;111;40;44;55;44;39;32;60;19;70;21;40
12/01/2018 18:00;20;109;38;46;51;50;41;25;52;10;56;24;25
12/01/2018 19:00;27;100;44;48;44;49;43;17;40;18;59;24;28
12/01/2018 20:00;32;105;44;48;40;43;39;18;34;15;53;22;17
12/01/2018 21:00;52;105;40;47;32;43;38;19;40;15;51;26;24
12/01/2018 22:00;69;109;36;39;39;44;41;15;35;21;54;28;22
12/01/2018 23:00;50;101;43;37;31;47;42;14;18;15;31;19;21
12/01/2018 24:00;33;110;48;41;29;32;42;12;18;19;32;21;14
13/01/2018 01:00;23;89;50;42;35;33;41;13;12;12;33;23;15
13/01/2018 02:00;38;84;50;44;30;32;39;16;7;14;26;20;20
