Timestamp;Mannerheimintie;Mäkelänkatu;Kallio;Vartiokylä;Leppävaara;Tikkurila;Luukki;Lohja;Kirkkonummi;Länsisatama;Pirkkola;Friisilä;Talvikkitie
01/01/2019 01:00;53;52;54;55;51;47;56;9;13;0;10;0;NoData
01/01/2019 02:00;30;53;56;55;12;17;56;6;13;0;22;0;NoData
01/01/2019 03:00;22;53;56;56;5;7;56;6;8;0;15;0;NoData
01/01/2019 04:00;22;53;55;55;4;12;56;6;6;0;5;0;NoData
01/01/2019 05:00;12;51;54;54;9;8;55;6;2;0;0;0;NoData
01/01/2019 06:00;12;51;53;53;8;12;52;6;3;0;0;0;NoData
01/01/2019 07:00;6;47;50;51;5;6;50;6;3;0;3;0;NoData
01/01/2019 08:00;9;44;47;47;8;14;49;6;4;InVld;0;InVld;NoData
01/01/2019 09:00;11;39;42;43;7;16;47;6;4;NoData;9;NoData;NoData
01/01/2019 10:00;16;36;37;44;6;8;44;6;3;NoData;9;NoData;NoData
01/01/2019 11:00;17;34;35;43;11;11;44;6;3;NoData;0;NoData;NoData
01/01/2019 12:00;14;38;40;43;7;18;44;7;7;NoData;15;NoData;NoData
01/01/2019 13:00;21;42;41;41;15;21;46;9;5;NoData;12;NoData;NoData
01/01/2019 14:00;17;44;50;50;15;21;51;8;8;NoData;5;NoData;NoData
01/01/2019 15:00;24;38;50;44;19;27;53;7;7;NoData;17;NoData;NoData
01/01/2019 16:00;21;45;52;41;18;21;53;7;10;NoData;28;NoData;NoData
01/01/2019 17:00;16;40;47;34;26;23;52;7;8;NoData;17;NoData;NoData
01/01/2019 18:00;14;36;48;43;23;27;51;8;10;NoData;16;NoData;NoData
01/01/2019 19:00;16;47;44;44;29;23;52;7;11;NoData;9;NoData;NoData
01/01/2019 20:00;18;51;48;36;27;42;46;7;13;NoData;25;NoData;NoData
01/01/2019 21:00;32;55;47;24;39;49;39;8;20;NoData;7;NoData;NoData
01/01/2019 22:00;29;47;49;37;51;48;29;7;23;NoData;20;NoData;NoData
01/01/2019 23:00;38;50;43;40;32;39;33;6;6;NoData;32;NoData;NoData
01/01/2019 24:00;50;34;28;30;20;37;40;6;3;NoData;0;NoData;NoData
02/01/2019 01:00;46;36;30;31;29;28;40;6;20;NoData;13;NoData;NoData
02/01/2019 02:00;38;37;40;44;15;29;36;16;13;NoData;24;NoData;NoData
02/01/2019 03:00;28;40;40;40;9;20;31;14;2;NoData;14;NoData;NoData
02/01/2019 04:00;8;31;31;33;5;15;33;12;5;NoData;5;NoData;NoData
02/01/2019 05:00;5;36;37;36;9;19;40;9;2;NoData;3;NoData;NoData
02/01/2019 06:00;15;40;41;40;7;11;46;13;1;NoData;22;NoData;NoData
02/01/2019 07:00;16;43;45;46;17;25;51;15;2;NoData;22;NoData;NoData
02/01/2019 08:00;20;46;46;49;17;30;54;16;2;NoData;11;NoData;NoData
02/01/2019 09:00;28;50;50;53;12;30;57;18;4;NoData;18;NoData;NoData
02/01/2019 10:00;34;51;52;56;14;28;58;17;4;NoData;10;NoData;NoData
02/01/2019 11:00;33;52;51;56;15;24;59;15;3;NoData;7;NoData;NoData
02/01/2019 12:00;36;52;53;56;11;21;59;11;2;NoData;5;NoData;NoData
02/01/2019 13:00;31;53;53;56;12;24;59;9;4;NoData;25;NoData;NoData
02/01/2019 14:00;32;54;54;57;17;23;60;10;3;NoData;0;NoData;NoData
02/01/2019 15:00;38;53;54;57;19;27;60;9;5;NoData;0;NoData;NoData
02/01/2019 16:00;33;53;53;58;13;31;60;9;3;19;8;NoData;NoData
02/01/2019 17:00;31;53;54;58;25;22;61;8;6;18;11;NoData;NoData
02/01/2019 18:00;25;54;56;59;21;24;60;9;6;29;13;NoData;NoData
02/01/2019 19:00;29;54;56;58;21;22;59;10;3;23;15;NoData;NoData
02/01/2019 20:00;29;54;55;57;27;18;59;9;3;13;20;NoData;NoData
02/01/2019 21:00;22;54;54;57;25;21;58;9;3;10;20;NoData;NoData
02/01/2019 22:00;25;55;56;58;20;19;59;9;2;20;13;NoData;NoData
02/01/2019 23:00;24;56;57;58;15;17;58;9;2;12;23;NoData;NoData
02/01/2019 24:00;20;56;57;58;14;17;58;9;9;9;8;NoData;NoData
03/01/2019 01:00;19;56;57;57;11;19;57;9;26;12;3;NoData;NoData
03/01/2019 02:00;28;55;56;57;4;18;57;9;24;9;7;NoData;NoData
03/01/2019 03:00;18;56;57;57;9;20;57;9;10;13;19;NoData;NoData
03/01/2019 04:00;20;56;57;56;14;19;56;10;2;14;26;NoData;NoData
03/01/2019 05:00;9;55;56;55;17;22;56;10;6;16;11;NoData;NoData
03/01/2019 06:00;17;53;54;54;8;24;56;11;8;18;16;NoData;NoData
03/01/2019 07:00;33;48;48;51;18;26;56;22;6;19;22;NoData;NoData
03/01/2019 08:00;42;42;42;49;20;22;55;28;6;21;22;NoData;NoData
03/01/2019 09:00;53;41;52;47;29;31;55;25;15;28;17;NoData;NoData
03/01/2019 10:00;53;41;53;47;25;30;55;35;6;40;17;NoData;NoData
03/01/2019 11:00;58;39;37;46;26;34;54;27;8;46;21;NoData;NoData
03/01/2019 12:00;58;41;39;49;25;24;55;18;10;36;16;NoData;NoData
03/01/2019 13:00;55;39;50;46;26;34;54;23;9;78;18;NoData;NoData
03/01/2019 14:00;64;37;37;50;38;34;54;13;15;59;21;NoData;NoData
03/01/2019 15:00;64;39;44;43;35;45;53;14;12;43;31;NoData;38
03/01/2019 16:00;61;47;47;39;37;42;51;19;14;54;26;NoData;37
03/01/2019 17:00;65;53;50;37;44;46;49;37;18;62;35;NoData;50
03/01/2019 18:00;64;63;55;38;50;51;46;22;15;61;43;NoData;50
03/01/2019 19:00;58;50;48;39;50;50;46;36;15;70;37;NoData;58
03/01/2019 20:00;57;50;40;42;49;48;43;32;20;53;56;NoData;53
03/01/2019 21:00;65;62;43;52;56;40;39;42;30;45;59;NoData;50
03/01/2019 22:00;65;61;46;46;61;48;37;31;23;51;59;NoData;56
03/01/2019 23:00;66;69;61;53;56;67;34;42;13;59;59;NoData;67
03/01/2019 24:00;72;71;62;66;60;73;37;39;15;45;59;NoData;69
04/01/2019 01:00;49;65;58;66;66;65;38;29;18;43;58;NoData;63
04/01/2019 02:00;35;60;49;64;50;66;37;15;18;25;52;NoData;61
04/01/2019 03:00;24;33;32;60;34;66;33;14;24;22;41;NoData;61
04/01/2019 04:00;10;43;51;53;26;62;37;11;21;8;38;NoData;56
04/01/2019 05:00;9;54;59;47;11;32;39;10;5;7;10;NoData;24
04/01/2019 06:00;11;51;59;58;9;10;46;9;4;6;2;NoData;10
04/01/2019 07:00;16;44;54;57;18;16;54;8;11;34;6;NoData;17
04/01/2019 08:00;32;50;48;55;26;31;54;8;10;26;11;NoData;27
04/01/2019 09:00;31;63;47;52;43;37;52;25;7;9;10;NoData;29
04/01/2019 10:00;38;56;46;51;50;39;51;28;6;25;14;NoData;29
04/01/2019 11:00;40;58;45;50;49;53;42;40;31;16;17;NoData;4
04/01/2019 12:00;33;71;43;43;74;62;37;38;21;30;31;NoData;1
04/01/2019 13:00;48;77;37;34;65;63;37;40;14;55;0;NoData;56
04/01/2019 14:00;51;78;43;31;57;59;52;35;11;36;27;NoData;55
04/01/2019 15:00;54;70;43;46;46;54;52;40;14;35;34;0;48
04/01/2019 16:00;64;59;50;38;39;46;54;33;17;42;30;40;46
04/01/2019 17:00;54;35;31;32;31;29;48;15;10;35;20;17;42
04/01/2019 18:00;52;32;30;37;27;25;51;11;9;53;19;14;28
04/01/2019 19:00;40;34;33;41;20;19;47;15;11;38;21;14;17
04/01/2019 20:00;42;40;38;44;16;14;49;16;5;20;22;12;13
04/01/2019 21:00;38;41;41;48;15;16;50;10;5;18;29;12;10
04/01/2019 22:00;27;46;46;50;17;18;51;18;3;20;27;10;11
04/01/2019 23:00;40;48;49;49;25;12;52;14;3;11;17;10;11
04/01/2019 24:00;37;49;50;49;12;13;53;7;3;8;8;9;4
05/01/2019 01:00;38;50;51;50;5;15;53;7;4;10;11;7;14
05/01/2019 02:00;29;49;50;44;8;18;53;7;3;8;15;7;12
05/01/2019 03:00;23;47;49;38;14;22;52;6;2;15;9;8;14
05/01/2019 04:00;24;45;46;36;13;22;51;8;2;15;10;9;13
05/01/2019 05:00;29;44;45;37;13;27;50;13;2;21;14;11;22
05/01/2019 06:00;29;43;44;37;22;29;49;7;4;22;13;14;22
05/01/2019 07:00;33;41;42;40;21;37;47;10;3;32;15;18;32
05/01/2019 08:00;37;40;38;42;35;39;46;8;3;37;26;21;45
05/01/2019 09:00;21;41;49;37;39;40;44;9;11;43;36;24;39
05/01/2019 10:00;30;39;39;35;37;37;45;11;10;36;22;24;33
05/01/2019 11:00;52;36;38;39;34;34;46;13;12;31;17;22;39
05/01/2019 12:00;42;36;38;42;28;30;47;14;6;32;21;22;31
05/01/2019 13:00;40;38;40;41;27;22;47;13;10;29;22;19;22
05/01/2019 14:00;41;37;35;42;24;26;49;15;10;31;34;20;26
05/01/2019 15:00;48;39;40;42;20;27;48;17;15;28;34;18;23
05/01/2019 16:00;48;39;41;42;21;27;49;20;8;31;19;16;25
05/01/2019 17:00;53;37;39;39;25;25;49;24;7;42;25;25;22
05/01/2019 18:00;44;40;42;43;26;27;48;28;9;38;21;31;31
05/01/2019 19:00;47;39;40;48;29;31;48;19;8;38;25;29;27
05/01/2019 20:00;48;42;43;49;25;26;52;14;7;28;33;26;25
05/01/2019 21:00;48;46;49;50;26;20;54;10;10;16;25;22;24
05/01/2019 22:00;42;48;51;52;17;19;54;8;4;19;24;15;21
05/01/2019 23:00;53;46;49;51;17;16;54;9;3;11;19;15;17
05/01/2019 24:00;36;50;52;53;18;16;54;9;4;9;10;16;14
06/01/2019 01:00;35;51;52;54;14;17;54;9;25;15;12;13;16
06/01/2019 02:00;35;50;52;54;20;17;53;8;18;11;11;12;11
06/01/2019 03:00;34;46;50;53;19;20;52;12;3;11;13;11;14
06/01/2019 04:00;45;47;51;54;4;16;54;8;3;14;17;13;14
06/01/2019 05:00;33;48;53;53;22;15;54;8;9;11;12;15;10
06/01/2019 06:00;21;44;50;51;14;16;53;8;3;9;21;13;8
